Algorithm;input;distance;time;n_veiculos
krs;cvrp-0-df-90;2616,4603;0,6540472507476807;31
krs;cvrp-0-df-91;2376,252;1,2603819370269775;25
krs;cvrp-0-df-92;2511,105;0,48163914680480957;28
krs;cvrp-0-df-93;2050,4316;0,42963671684265137;25
krs;cvrp-0-df-94;2562,4377;0,5936756134033203;27
krs;cvrp-0-df-95;2719,1006;0,7541189193725586;33
krs;cvrp-0-df-96;2628,3773;0,6935381889343262;30
krs;cvrp-0-df-97;2403,063;0,32443904876708984;25
krs;cvrp-0-df-98;2257,671;0,3467249870300293;26
krs;cvrp-0-df-99;2308,2495;0,503852367401123;26
krs;cvrp-0-df-100;2911,3175;2,374950885772705;34
krs;cvrp-0-df-101;2630,6651;1,0900681018829346;32
krs;cvrp-0-df-104;2483,6949;0,5165972709655762;31
krs;cvrp-0-df-105;2239,3262;1,225149154663086;24
krs;cvrp-0-df-106;2685,0798;1,4590880870819092;31
krs;cvrp-0-df-108;2552,796;1,7488901615142822;31
krs;cvrp-0-df-109;2649,1257;1,831078052520752;32
krs;cvrp-0-df-111;2781,0313;1,1995742321014404;31
krs;cvrp-0-df-112;2590,3392;1,3485586643218994;31
krs;cvrp-0-df-113;2341,0441;0,9922082424163818;27
krs;cvrp-0-df-114;2706,4413;1,518310308456421;32
krs;cvrp-0-df-115;2527,7631;0,8482794761657715;31
krs;cvrp-0-df-116;2593,022;1,0586092472076416;29
krs;cvrp-0-df-117;2222,5682;0,5570065975189209;26
krs;cvrp-0-df-118;2463,6318;1,1452999114990234;28
krs;cvrp-0-df-119;2558,9207;0,7287566661834717;26
krso;cvrp-0-df-90;1746,5707;47,932586908340454;31
krso;cvrp-0-df-91;1584,3847;34,57400298118591;25
krso;cvrp-0-df-92;1625,9583;50,67168068885803;28
krso;cvrp-0-df-93;1344,3007;39,38905048370361;25
krso;cvrp-0-df-94;1921,2449;26,011960983276367;27
krso;cvrp-0-df-95;1791,2477;66,09706687927246;33
krso;cvrp-0-df-96;1764,7258;50,385260581970215;30
krso;cvrp-0-df-97;1587,9392;37,566879987716675;25
krso;cvrp-0-df-98;1569,1342;36,01140475273132;26
krso;cvrp-0-df-99;1535,8916;22,810412645339966;26
krso;cvrp-0-df-100;2280,6631;34,108163595199585;34
krso;cvrp-0-df-101;1694,7499;59,59293532371521;32
krso;cvrp-0-df-104;1728,753;42,57197070121765;31
krso;cvrp-0-df-105;1724,9698;27,386663675308228;24
krso;cvrp-0-df-106;1792,26;56,232510566711426;31
krso;cvrp-0-df-108;1816,3035;57,10283708572388;31
krso;cvrp-0-df-109;1856,1335;40,903804540634155;32
krso;cvrp-0-df-111;1710,1235;52,30047154426575;31
krso;cvrp-0-df-112;1777,523;55,16981554031372;31
krso;cvrp-0-df-113;1709,2322;30,045666456222534;27
krso;cvrp-0-df-114;1966,3423;41,55366826057434;32
krso;cvrp-0-df-115;1730,3535;60,7776415348053;31
krso;cvrp-0-df-116;1604,6847;44,30375576019287;29
krso;cvrp-0-df-117;1440,8699;37,17966294288635;26
krso;cvrp-0-df-118;1856,7027;29,901897430419922;28
krso;cvrp-0-df-119;1865,0285;20,194244623184204;26
