Algorithm;input;distance;time;n_veiculos
kpprrf;cvrp-0-df-90;2905,4877;20,465;50
kpprrf;cvrp-0-df-91;2518,5306;14,339;39
kpprrf;cvrp-0-df-92;2656,1792;16,032;42
kpprrf;cvrp-0-df-93;2197,8176;14,81;37
kpprrf;cvrp-0-df-94;2802,1125;16,577;41
kpprrf;cvrp-0-df-95;2975,0047;17,309;47
kpprrf;cvrp-0-df-96;2892,3363;19,517;46
kpprrf;cvrp-0-df-97;2522,2355;16,294;37
kpprrf;cvrp-0-df-98;2392,1824;14,806;38
kpprrf;cvrp-0-df-99;2411,2724;14,462;37
kpprrf;cvrp-0-df-100;3179,1425;19,288;49
kpprrf;cvrp-0-df-101;2829,9029;19,416;50
kpprrf;cvrp-0-df-104;2681,3095;16,246;45
kpprrf;cvrp-0-df-105;2338,2776;14,564;38
kpprrf;cvrp-0-df-106;2974,7324;18,855;49
kpprrf;cvrp-0-df-108;2771,4448;17,872;45
kpprrf;cvrp-0-df-109;2866,8156;18,232;49
kpprrf;cvrp-0-df-111;2894,7225;18,283;46
kpprrf;cvrp-0-df-112;2877,291;16,235;45
kpprrf;cvrp-0-df-113;2525,0957;16,654;39
kpprrf;cvrp-0-df-114;3024,0328;18,878;49
kpprrf;cvrp-0-df-115;2618,5391;18,826;48
kpprrf;cvrp-0-df-116;2751,0609;16,6;45
kpprrf;cvrp-0-df-117;2353,4379;13,355;39
kpprrf;cvrp-0-df-118;2620,3276;16,971;44
kpprrf;cvrp-0-df-119;2698,2915;15,17;38
lkh3;cvrp-0-df-90;1406,9901;46,08038878440857;31
lkh3;cvrp-0-df-91;1223,3609;25,009934663772583;26
lkh3;cvrp-0-df-92;1289,9647;37,28923225402832;27
lkh3;cvrp-0-df-93;1108,805;27,305202960968018;24
lkh3;cvrp-0-df-94;1359,7764;34,05315065383911;27
lkh3;cvrp-0-df-95;1500,8011;57,33512759208679;32
lkh3;cvrp-0-df-96;1384,3199;44,49943542480469;31
lkh3;cvrp-0-df-97;1241,9613;30,67421865463257;25
lkh3;cvrp-0-df-98;1265,3963;29,1387300491333;25
lkh3;cvrp-0-df-99;1260,749;26,72787117958069;27
lkh3;cvrp-0-df-100;1557,0143;64,31058979034424;35
lkh3;cvrp-0-df-101;1275,2915;45,53490591049194;32
lkh3;cvrp-0-df-102;1426,4841;49,29796767234802;34
lkh3;cvrp-0-df-103;1561,9928;71,71498990058899;36
lkh3;cvrp-0-df-104;1342,3822;43,899588108062744;31
lkh3;cvrp-0-df-105;1215,5885;24,69510769844055;25
lkh3;cvrp-0-df-106;1426,2343;49,35360288619995;31
lkh3;cvrp-0-df-107;1584,7115;65,02592325210571;35
lkh3;cvrp-0-df-108;1450,1971;49,2156240940094;32
lkh3;cvrp-0-df-109;1438,4284;51,40359044075012;33
lkh3;cvrp-0-df-110;1607,2683;71,6813793182373;37
lkh3;cvrp-0-df-111;1395,2662;41,8335542678833;31
lkh3;cvrp-0-df-112;1413,0072;39,504740476608276;30
lkh3;cvrp-0-df-113;1261,3397;42,780802726745605;28
lkh3;cvrp-0-df-114;1544,9949;51,35806632041931;32
lkh3;cvrp-0-df-115;1389,4464;39,04462027549744;31
lkh3;cvrp-0-df-116;1299,5217;40,29779267311096;29
lkh3;cvrp-0-df-117;1162,4692;26,514050006866455;26
lkh3;cvrp-0-df-118;1303,9595;38,628169775009155;28
lkh3;cvrp-0-df-119;1272,7637;31,530747890472412;27
kmeans-partition;cvrp-0-df-90;1302,3282;218,6984667778015;31
kmeans-partition;cvrp-0-df-91;1179,3694;185,21721005439758;25
kmeans-partition;cvrp-0-df-92;1232,2215;228,00619745254517;27
kmeans-partition;cvrp-0-df-93;1110,6754;189,7931842803955;25
kmeans-partition;cvrp-0-df-94;1310,117;205,1658387184143;27
kmeans-partition;cvrp-0-df-95;1381,1981;246,76339316368103;32
kmeans-partition;cvrp-0-df-96;1307,9033;231,86459875106812;30
kmeans-partition;cvrp-0-df-97;1176,5852;196,03803634643555;25
kmeans-partition;cvrp-0-df-98;1222,3422;195,3540711402893;25
kmeans-partition;cvrp-0-df-99;1178,0501;213,24588799476624;26
kmeans-partition;cvrp-0-df-100;1415,3397;273,0041172504425;35
kmeans-partition;cvrp-0-df-101;1282,4271;233,53211665153503;31
kmeans-partition;cvrp-0-df-102;1347,2935;260,4649245738983;33
kmeans-partition;cvrp-0-df-103;1380,1411;295,2941360473633;36
kmeans-partition;cvrp-0-df-104;1277,5496;245,6614372730255;30
kmeans-partition;cvrp-0-df-105;1188,915;217,8307511806488;25
