Algorithm;input;distance;time;n_veiculos
krs;cvrp-0-df-90;1665,8885;38,37754726409912;31
krs;cvrp-0-df-91;1506,8682;27,835000038146973;25
krs;cvrp-0-df-92;1557,6804;32,02300047874451;42
krs;cvrp-0-df-93;1307,3019;20,60657286643982;37
krs;cvrp-0-df-94;1747,8257;30,912999629974365;41
krs;cvrp-0-df-95;1772,1678;43,27499961853027;47
krs;cvrp-0-df-96;1774,6467;41,32239317893982;46
krs;cvrp-0-df-97;1542,272;27,550999641418457;37
krs;cvrp-0-df-98;1520,4597;26,792906999588013;26
krs;cvrp-0-df-99;1412,4507;28,777061939239502;26
krs;cvrp-0-df-100;1930,96;50,54122281074524;49
krs;cvrp-0-df-101;1637,5195;41,324007987976074;50
krs;cvrp-0-df-104;1593,0303;34,871795415878296;45
krs;cvrp-0-df-105;1536,5265;25,86000084877014;38
krs;cvrp-0-df-106;1767,2749;44,91699934005737;31
krs;cvrp-0-df-108;1736,5973;42,92800855636597;45
krs;cvrp-0-df-109;1698,93;45,88144087791443;49
krs;cvrp-0-df-111;1719,155;39,0;46
krs;cvrp-0-df-112;1722,2317;42,84945368766785;31
krs;cvrp-0-df-113;1520,7388;31,44086718559265;39
krs;cvrp-0-df-114;1825,365;47,02008104324341;49
krs;cvrp-0-df-115;1611,0723;35,97000026702881;48
krs;cvrp-0-df-116;1579,5728;33,65299940109253;45
krs;cvrp-0-df-117;1463,5858;24,73700213432312;39
krs;cvrp-0-df-118;1612,9442;31,83006739616394;44
krs;cvrp-0-df-119;1626,8004;28,603204488754272;38
