Algorithm;input;distance;time;n_veiculos
krsof;cvrp-0-df-90;1703,9405;75,67330431938171;50;106,92
krsof;cvrp-0-df-91;1483,9822;53,233806848526;39;112,56410256410257
krsof;cvrp-0-df-92;1554,089;63,14010787010193;42;112,42857142857143
krsof;cvrp-0-df-93;1302,0775;40,27801561355591;37;114,02702702702703
krsof;cvrp-0-df-94;1742,9646;63,269182205200195;41;113,92682926829268
krsof;cvrp-0-df-95;1769,1566;87,72820591926575;47;118,76595744680851
krsof;cvrp-0-df-96;1767,1022;83,1004593372345;46;115,78260869565217
krsof;cvrp-0-df-97;1540,3804;57,0133273601532;37;118,67567567567568
krsof;cvrp-0-df-98;1476,8866;53,8240020275116;38;114,89473684210526
krsof;cvrp-0-df-99;1415,5286;58,06919527053833;37;122,48648648648648
krsof;cvrp-0-df-100;1915,4525;103,15129804611206;49;123,48979591836735
krsof;cvrp-0-df-101;1635,1893;84,01684546470642;50;109,96
krsof;cvrp-0-df-104;1583,9213;70,06952095031738;45;118,13333333333334
krsof;cvrp-0-df-105;1523,4451;53,11100792884827;38;112,02631578947368
krsof;cvrp-0-df-106;1816,046;87,51539349555969;49;109,28571428571429
krsof;cvrp-0-df-108;1719,4851;88,21744084358215;45;120,97777777777777
krsof;cvrp-0-df-109;1691,1042;93,99359488487244;49;116,3061224489796
krsof;cvrp-0-df-111;1706,1148;79,8427426815033;46;117,73913043478261
krsof;cvrp-0-df-112;1712,3732;83,0982027053833;45;117,97777777777777
krsof;cvrp-0-df-113;1517,7505;64,11267566680908;39;123,25641025641026
krsof;cvrp-0-df-114;1821,9135;93,65059447288513;49;114,59183673469387
krsof;cvrp-0-df-115;1600,9243;75,39497208595276;48;110,10416666666667
krsof;cvrp-0-df-116;1568,651;70,85766291618347;45;113,04444444444445
krsof;cvrp-0-df-117;1453,9709;52,394407749176025;39;113,46153846153847
krsof;cvrp-0-df-118;1596,0167;63,56703972816467;44;112,3409090909091
krsof;cvrp-0-df-119;1624,0705;56,73460602760315;38;120,3157894736842
