Algorithm;input;distance;time;n_veiculos
kmeans-greedy;cvrp-0-pa-90;1198,7025;0,0;82
kmeans-greedy;cvrp-0-pa-91;1255,2553;0,0;81
kmeans-greedy;cvrp-0-pa-92;1322,2747;0,0;86
kmeans-greedy;cvrp-0-pa-93;1182,784;0,0;81
kmeans-greedy;cvrp-0-pa-94;1295,3043;0,0;85
kmeans-greedy;cvrp-0-pa-95;1548,1802;0,0;88
kmeans-greedy;cvrp-0-pa-96;1524,2713;0,0;90
kmeans-greedy;cvrp-0-pa-97;1135,2874;0,0;76
kmeans-greedy;cvrp-0-pa-98;1215,2671;0,0;78
kmeans-greedy;cvrp-0-pa-99;1564,6098;0,0;88
kmeans-greedy;cvrp-0-pa-100;1283,9829;0,0;83
kmeans-greedy;cvrp-0-pa-101;1289,8666;0,0;83
kmeans-greedy;cvrp-0-pa-102;1281,8988;0,0;83
kmeans-greedy;cvrp-0-pa-103;1192,7135;0,0;84
kmeans-greedy;cvrp-0-pa-104;1443,4891;0,0;87
kmeans-greedy;cvrp-0-pa-105;1399,9278;0,0;84
kmeans-greedy;cvrp-0-pa-106;1311,9928;0,0;83
kmeans-greedy;cvrp-0-pa-107;1301,1002;0,0;82
kmeans-greedy;cvrp-0-pa-108;1428,8094;0,0;87
kmeans-greedy;cvrp-0-pa-109;1119,5802;0,0;76
kmeans-greedy;cvrp-0-pa-110;1339,1521;0,0;82
kmeans-greedy;cvrp-0-pa-111;1422,0197;0,0;84
kmeans-greedy;cvrp-0-pa-112;1477,686;0,0;84
kmeans-greedy;cvrp-0-pa-113;1205,8396;0,0;80
kmeans-greedy;cvrp-0-pa-114;1368,0337;0,0;83
kmeans-greedy;cvrp-0-pa-115;1276,9746;0,0;83
kmeans-greedy;cvrp-0-pa-116;1131,9186;0,0;72
kmeans-greedy;cvrp-0-pa-117;1345,7334;0,0;87
kmeans-greedy;cvrp-0-pa-118;1372,046;0,0;88
kmeans-greedy;cvrp-0-pa-119;1347,6168;0,0;89
qrpsweep;cvrp-0-pa-90;718,2511;0,0;12
qrpsweep;cvrp-0-pa-91;876,7989;0,0;12
qrpsweep;cvrp-0-pa-92;816,7764;0,0;12
qrpsweep;cvrp-0-pa-93;622,4138;0,0;12
qrpsweep;cvrp-0-pa-94;807,3758;0,0;11
qrpsweep;cvrp-0-pa-95;917,3683;0,0;13
qrpsweep;cvrp-0-pa-96;952,1333;0,0;12
qrpsweep;cvrp-0-pa-97;754,703;0,0;13
qrpsweep;cvrp-0-pa-98;772,7976;0,0;12
qrpsweep;cvrp-0-pa-99;912,8184;0,0;12
qrpsweep;cvrp-0-pa-100;831,1861;0,0;12
qrpsweep;cvrp-0-pa-101;822,7584;0,0;12
qrpsweep;cvrp-0-pa-102;736,1106;0,0;12
qrpsweep;cvrp-0-pa-103;716,1063;0,0;12
qrpsweep;cvrp-0-pa-104;895,8862;0,0;12
qrpsweep;cvrp-0-pa-105;942,4216;0,0;13
qrpsweep;cvrp-0-pa-106;792,3434;0,0;13
qrpsweep;cvrp-0-pa-107;836,563;0,0;12
qrpsweep;cvrp-0-pa-108;960,7496;0,0;12
qrpsweep;cvrp-0-pa-109;756,2436;0,0;12
qrpsweep;cvrp-0-pa-110;784,4334;0,0;12
qrpsweep;cvrp-0-pa-111;771,8653;0,0;12
qrpsweep;cvrp-0-pa-112;843,2348;0,0;13
qrpsweep;cvrp-0-pa-113;711,5191;0,0;13
qrpsweep;cvrp-0-pa-114;829,7362;0,0;12
qrpsweep;cvrp-0-pa-115;839,3213;0,0;13
qrpsweep;cvrp-0-pa-116;752,579;0,0;10
qrpsweep;cvrp-0-pa-117;826,5882;0,0;13
qrpsweep;cvrp-0-pa-118;865,0067;0,0;12
qrpsweep;cvrp-0-pa-119;823,3594;0,0;12
