Algorithm;input;distance;time;n_veiculos
krs;cvrp-0-pa-90;1157,8192;0,06002640724182129;10
krs;cvrp-0-pa-91;1297,098;0,07575154304504395;10
krs;cvrp-0-pa-92;951,2095;0,07598376274108887;9
krs;cvrp-0-pa-93;879,9486;0,08452486991882324;8
krs;cvrp-0-pa-94;1224,0918;0,13790512084960938;9
krs;cvrp-0-pa-95;1201,6187;0,207503080368042;10
krs;cvrp-0-pa-96;1292,7215;0,12175297737121582;10
krs;cvrp-0-pa-97;1075,3871;0,18970656394958496;11
krs;cvrp-0-pa-98;1169,3663;0,18529343605041504;10
krs;cvrp-0-pa-99;1244,4494;0,10668778419494629;11
krs;cvrp-0-pa-100;1184,4444;0,04700660705566406;10
krs;cvrp-0-pa-101;1057,8663;0,07581758499145508;10
krs;cvrp-0-pa-102;1005,0567;0,09241557121276855;10
krs;cvrp-0-pa-103;1019,3178;0,2404162883758545;10
krs;cvrp-0-pa-104;1275,817;0,1271984577178955;11
krs;cvrp-0-pa-105;1324,6397;0,07316350936889648;11
krs;cvrp-0-pa-106;1134,6655;0,028020620346069336;11
krs;cvrp-0-pa-107;1080,7888;0,14670777320861816;9
krs;cvrp-0-pa-108;1160,1119;0,05414986610412598;10
krs;cvrp-0-pa-109;1184,6438;0,06598520278930664;9
krs;cvrp-0-pa-110;1109,0353;0,06956744194030762;10
krs;cvrp-0-pa-111;1064,329;0,034839630126953125;9
krs;cvrp-0-pa-112;1133,4338;0,25824427604675293;11
krs;cvrp-0-pa-113;973,6135;0,06484103202819824;10
krs;cvrp-0-pa-114;1210,4574;0,1378154754638672;10
krs;cvrp-0-pa-115;1155,2951;0,0962381362915039;11
krs;cvrp-0-pa-116;1033,8359;0,019102096557617188;8
krs;cvrp-0-pa-117;1114,5481;0,1984724998474121;11
krs;cvrp-0-pa-118;1131,2351;0,04015779495239258;11
krs;cvrp-0-pa-119;1177,9858;0,04976797103881836;10
krso;cvrp-0-pa-90;627,5246;4,60779595375061;10
krso;cvrp-0-pa-91;770,7201;4,688268423080444;10
krso;cvrp-0-pa-92;635,9278;4,019756317138672;9
krso;cvrp-0-pa-93;620,8074;2,9790961742401123;8
krso;cvrp-0-pa-94;785,0161;4,496639728546143;9
krso;cvrp-0-pa-95;727,2904;5,402276277542114;10
krso;cvrp-0-pa-96;767,455;6,179404020309448;10
krso;cvrp-0-pa-97;677,4266;5,042802333831787;11
krso;cvrp-0-pa-98;715,0043;4,093862295150757;10
krso;cvrp-0-pa-99;802,7031;4,541402816772461;11
krso;cvrp-0-pa-100;762,8899;3,4100725650787354;10
krso;cvrp-0-pa-101;752,8005;3,182812452316284;10
krso;cvrp-0-pa-102;697,1684;4,793816089630127;10
krso;cvrp-0-pa-103;637,1221;5,06744909286499;10
krso;cvrp-0-pa-104;746,0891;7,474062919616699;11
krso;cvrp-0-pa-105;808,1004;4,457823276519775;11
krso;cvrp-0-pa-106;746,2076;5,1882500648498535;11
krso;cvrp-0-pa-107;744,9765;5,20435094833374;9
krso;cvrp-0-pa-108;745,1861;4,493393659591675;10
krso;cvrp-0-pa-109;692,6826;4,097896099090576;9
krso;cvrp-0-pa-110;641,3159;5,11321496963501;10
krso;cvrp-0-pa-111;725,8412;2,4943695068359375;9
krso;cvrp-0-pa-112;761,32;7,616180419921875;11
krso;cvrp-0-pa-113;617,4144;3,377582550048828;10
krso;cvrp-0-pa-114;739,9507;4,252753973007202;10
krso;cvrp-0-pa-115;803,6562;4,415825843811035;11
krso;cvrp-0-pa-116;626,5681;2,673358201980591;8
krso;cvrp-0-pa-117;740,9288;7,747473955154419;11
krso;cvrp-0-pa-118;724,9881;5,238112688064575;11
krso;cvrp-0-pa-119;694,7474;4,3241260051727295;10
