Algorithm;input;distance;time;n_veiculos
kpprrf;cvrp-0-pa-90;1187,0401;5,509;15
kpprrf;cvrp-0-pa-91;1207,7508;4,245;12
kpprrf;cvrp-0-pa-92;971,8714;4,544;13
kpprrf;cvrp-0-pa-93;942,2484;4,731;12
kpprrf;cvrp-0-pa-94;1251,8937;4,613;14
kpprrf;cvrp-0-pa-95;1256,2541;6,199;16
kpprrf;cvrp-0-pa-96;1320,4978;5,83;16
kpprrf;cvrp-0-pa-97;1060,7811;6,828;17
kpprrf;cvrp-0-pa-98;1275,7171;5,711;14
kpprrf;cvrp-0-pa-99;1275,9601;6,79;17
kpprrf;cvrp-0-pa-100;1206,2393;6,717;16
kpprrf;cvrp-0-pa-101;1174,3891;5,394;14
kpprrf;cvrp-0-pa-102;1031,5524;5,598;13
kpprrf;cvrp-0-pa-103;1057,5348;5,984;17
kpprrf;cvrp-0-pa-104;1344,1315;5,861;15
kpprrf;cvrp-0-pa-105;1372,0651;6,465;15
kpprrf;cvrp-0-pa-106;1185,2702;7,113;16
kpprrf;cvrp-0-pa-107;1179,7551;5,481;15
kpprrf;cvrp-0-pa-108;1187,5096;5,232;13
kpprrf;cvrp-0-pa-109;1035,5235;5,907;14
kpprrf;cvrp-0-pa-110;1224,3802;5,429;15
kpprrf;cvrp-0-pa-111;1154,713;4,942;13
kpprrf;cvrp-0-pa-112;1402,3415;6,107;18
kpprrf;cvrp-0-pa-113;1049,4991;4,87;16
kpprrf;cvrp-0-pa-114;1209,2146;6,799;16
kpprrf;cvrp-0-pa-115;1230,4763;5,69;16
kpprrf;cvrp-0-pa-116;1000,3318;4,952;10
kpprrf;cvrp-0-pa-117;1232,3598;7,1;17
kpprrf;cvrp-0-pa-118;1179,2267;6,899;16
kpprrf;cvrp-0-pa-119;1249,2715;5,8;13
lkh3;cvrp-0-pa-90;538,0634;4,117330074310303;10
lkh3;cvrp-0-pa-91;595,3111;3,6299662590026855;10
lkh3;cvrp-0-pa-92;536,6372;3,374868631362915;9
lkh3;cvrp-0-pa-93;525,1455;3,0983352661132812;8
lkh3;cvrp-0-pa-94;571,4023;3,608250856399536;9
lkh3;cvrp-0-pa-95;627,202;4,272678375244141;10
lkh3;cvrp-0-pa-96;618,9687;4,036875247955322;10
lkh3;cvrp-0-pa-97;528,8672;4,846537113189697;11
lkh3;cvrp-0-pa-98;525,7624;3,948082447052002;10
lkh3;cvrp-0-pa-99;610,9431;4,106892824172974;11
lkh3;cvrp-0-pa-100;593,9225;4,441880702972412;9
lkh3;cvrp-0-pa-101;536,9863;3,8511343002319336;10
lkh3;cvrp-0-pa-102;554,5112;4,5414159297943115;10
lkh3;cvrp-0-pa-103;534,4179;4,329613924026489;11
lkh3;cvrp-0-pa-104;670,8741;4,439225673675537;11
lkh3;cvrp-0-pa-105;693,2719;4,692041397094727;11
lkh3;cvrp-0-pa-106;550,5526;4,746332168579102;10
lkh3;cvrp-0-pa-107;571,9787;3,7545950412750244;9
lkh3;cvrp-0-pa-108;607,7012;4,335583209991455;10
lkh3;cvrp-0-pa-109;477,4237;3,7162578105926514;9
lkh3;cvrp-0-pa-110;596,1529;3,293879270553589;10
lkh3;cvrp-0-pa-111;507,3777;3,324594259262085;9
lkh3;cvrp-0-pa-112;579,7817;5,049655199050903;11
lkh3;cvrp-0-pa-113;528,6599;3,3150405883789062;10
lkh3;cvrp-0-pa-114;611,4943;4,288007497787476;10
lkh3;cvrp-0-pa-115;507,8243;4,465487241744995;11
lkh3;cvrp-0-pa-116;557,576;2,2881650924682617;8
lkh3;cvrp-0-pa-117;579,0026;5,463834524154663;11
lkh3;cvrp-0-pa-118;589,1203;4,794063568115234;10
lkh3;cvrp-0-pa-119;518,9872;4,035055875778198;10
kmeans-partition;cvrp-0-pa-90;557,5792;73,14662146568298;10
kmeans-partition;cvrp-0-pa-91;629,1676;73,72382998466492;10
kmeans-partition;cvrp-0-pa-92;591,5251;68,91619682312012;9
kmeans-partition;cvrp-0-pa-93;519,7836;84,23103189468384;8
kmeans-partition;cvrp-0-pa-94;633,096;55,83300161361694;9
kmeans-partition;cvrp-0-pa-95;639,6516;122,07086443901062;10
kmeans-partition;cvrp-0-pa-96;670,9439;103,6186990737915;10
kmeans-partition;cvrp-0-pa-97;583,171;122,40695452690125;10
kmeans-partition;cvrp-0-pa-98;563,8809;122,05231094360352;10
kmeans-partition;cvrp-0-pa-99;675,7186;87,48474049568176;10
kmeans-partition;cvrp-0-pa-100;615,9026;121,8503794670105;9
kmeans-partition;cvrp-0-pa-101;546,7908;90,62610626220703;10
kmeans-partition;cvrp-0-pa-102;562,4149;93,6897497177124;10
kmeans-partition;cvrp-0-pa-103;573,3692;85,10259795188904;11
kmeans-partition;cvrp-0-pa-104;695,4092;87,261709690094;11
kmeans-partition;cvrp-0-pa-105;695,1197;116,85724639892578;11
kmeans-partition;cvrp-0-pa-106;609,9295;96,65626287460327;11
kmeans-partition;cvrp-0-pa-107;583,1595;89,91940665245056;9
kmeans-partition;cvrp-0-pa-108;639,73;65,76086282730103;10
kmeans-partition;cvrp-0-pa-109;534,9432;91,06368470191956;9
kmeans-partition;cvrp-0-pa-110;610,437;94,23432636260986;9
kmeans-partition;cvrp-0-pa-111;567,5988;62,957695960998535;9
kmeans-partition;cvrp-0-pa-112;654,7679;100,949303150177;11
kmeans-partition;cvrp-0-pa-113;543,4759;66,41383862495422;10
kmeans-partition;cvrp-0-pa-114;634,2356;75,52093768119812;10
kmeans-partition;cvrp-0-pa-115;565,4232;83,07225823402405;11
kmeans-partition;cvrp-0-pa-116;572,5437;64,49977898597717;7
kmeans-partition;cvrp-0-pa-117;596,2579;120,19669222831726;11
kmeans-partition;cvrp-0-pa-118;610,9078;122,0137677192688;10
kmeans-partition;cvrp-0-pa-119;600,787;94,05957341194153;10
kmeans-aggregation;cvrp-0-pa-90;550,7397;84,96621489524841;10
kmeans-aggregation;cvrp-0-pa-91;612,7826;26,689944982528687;11
kmeans-aggregation;cvrp-0-pa-92;565,6479;83,81875276565552;9
kmeans-aggregation;cvrp-0-pa-93;574,0682;85,74966931343079;8
kmeans-aggregation;cvrp-0-pa-94;575,3919;84,95824956893921;10
kmeans-aggregation;cvrp-0-pa-95;628,1731;92,11501336097717;10
kmeans-aggregation;cvrp-0-pa-96;639,8772;91,69480872154236;10
kmeans-aggregation;cvrp-0-pa-97;559,3691;90,04366302490234;12
kmeans-aggregation;cvrp-0-pa-98;561,7088;90,27174854278564;11
kmeans-aggregation;cvrp-0-pa-99;615,9799;91,48512005805969;11
kmeans-aggregation;cvrp-0-pa-100;572,7673;86,39733409881592;10
kmeans-aggregation;cvrp-0-pa-101;552,9744;84,58463191986084;10
kmeans-aggregation;cvrp-0-pa-102;566,8448;90,5917706489563;10
kmeans-aggregation;cvrp-0-pa-103;563,3095;87,08945322036743;11
kmeans-aggregation;cvrp-0-pa-104;579,254;84,82692885398865;11
kmeans-aggregation;cvrp-0-pa-105;673,3286;84,8839750289917;11
kmeans-aggregation;cvrp-0-pa-106;564,9806;84,39566040039062;11
kmeans-aggregation;cvrp-0-pa-107;552,8074;26,251439809799194;10
kmeans-aggregation;cvrp-0-pa-108;690,1041;89,1163821220398;10
kmeans-aggregation;cvrp-0-pa-109;514,8884;89,34762907028198;9
kmeans-aggregation;cvrp-0-pa-110;575,1223;85,65328168869019;10
kmeans-aggregation;cvrp-0-pa-111;591,2408;83,13100075721741;9
kmeans-aggregation;cvrp-0-pa-112;622,4172;92,47331285476685;12
