Algorithm;input;distance;time;n_veiculos
krso;cvrp-0-pa-90;651,2639;5,816999673843384;15
krso;cvrp-0-pa-91;691,5673;3,431999444961548;10
krso;cvrp-0-pa-92;586,007;5,110950231552124;13
krso;cvrp-0-pa-93;560,4594;2,855998992919922;8
krso;cvrp-0-pa-94;712,98;5,614999055862427;14
krso;cvrp-0-pa-95;711,7315;7,419000148773193;10
krso;cvrp-0-pa-96;698,5624;6,043999671936035;16
krso;cvrp-0-pa-97;574,7647;4,455999851226807;11
krso;cvrp-0-pa-98;669,0063;5,414999485015869;10
krso;cvrp-0-pa-99;718,3267;7,576999664306641;17
