Algorithm,input,distance,time,n_veiculos
ccpmip,cvrp-0-pa-90,950.2835,0.0,7
ccpmip,cvrp-0-pa-91,929.5638,0.0,7
ccpmip,cvrp-0-pa-92,905.3091,0.0,7
ccpmip,cvrp-0-pa-93,937.6449,0.0,6
ccpmip,cvrp-0-pa-94,832.4564,0.0,7
ccpmip,cvrp-0-pa-95,1011.9705,0.0,7
ccpmip,cvrp-0-pa-96,1018.0746,0.0,7
ccpmip,cvrp-0-pa-97,724.6056,0.0,7
ccpmip,cvrp-0-pa-98,874.5045,0.0,7
ccpmip,cvrp-0-pa-99,938.5035,0.0,7
ccpmip,cvrp-0-pa-100,865.3429,0.0,7
ccpmip,cvrp-0-pa-101,882.6389,0.0,7
ccpmip,cvrp-0-pa-102,833.7025,0.0,7
ccpmip,cvrp-0-pa-103,761.5912,0.0,7
ccpmip,cvrp-0-pa-104,974.4355,0.0,10
ccpmip,cvrp-0-pa-105,1006.7036,0.0,7
ccpmip,cvrp-0-pa-106,1027.6719,0.0,7
ccpmip,cvrp-0-pa-107,958.0528,0.0,7
ccpmip,cvrp-0-pa-108,1019.1269,0.0,7
ccpmip,cvrp-0-pa-109,890.9856,0.0,7
ccpmipo,cvrp-0-pa-90,815.9005,2.673707962036133,7
ccpmipo,cvrp-0-pa-91,766.4676,1.6521694660186768,7
ccpmipo,cvrp-0-pa-92,781.1346,2.1085169315338135,7
ccpmipo,cvrp-0-pa-93,780.4945,1.0519847869873047,6
ccpmipo,cvrp-0-pa-94,738.7481,1.6793110370635986,7
ccpmipo,cvrp-0-pa-95,946.0089,2.131606340408325,7
ccpmipo,cvrp-0-pa-96,937.4553,2.332282543182373,7
ccpmipo,cvrp-0-pa-97,724.6056,2.1981916427612305,7
ccpmipo,cvrp-0-pa-98,871.1169,2.1617817878723145,7
ccpmipo,cvrp-0-pa-99,914.5877,3.4796276092529297,7
ccpmipo,cvrp-0-pa-100,826.9694,1.816972017288208,7
ccpmipo,cvrp-0-pa-101,862.9547,2.573162794113159,7
ccpmipo,cvrp-0-pa-102,832.6095,1.765822410583496,7
ccpmipo,cvrp-0-pa-103,758.7356,2.2024056911468506,7
ccpmipo,cvrp-0-pa-104,936.5777,2.0241219997406006,10
ccpmipo,cvrp-0-pa-105,993.5239,2.342473030090332,7
ccpmipo,cvrp-0-pa-106,880.3757,2.5564498901367188,7
ccpmipo,cvrp-0-pa-107,783.0571,1.7946317195892334,7
ccpmipo,cvrp-0-pa-108,908.647,2.183852195739746,7
ccpmipo,cvrp-0-pa-109,706.1725,2.065474510192871,7
ccpvrp,cvrp-0-pa-90,894.0491,0.0,10
ccpvrp,cvrp-0-pa-91,947.4005,0.0,10
ccpvrp,cvrp-0-pa-92,895.4502,0.0,9
ccpvrp,cvrp-0-pa-93,897.4312,0.0,8
ccpvrp,cvrp-0-pa-94,951.8848,0.0,9
ccpvrp,cvrp-0-pa-95,1109.5835,0.0,10
ccpvrp,cvrp-0-pa-96,943.1892,0.0,10
ccpvrp,cvrp-0-pa-97,816.6971,0.0,10
ccpvrp,cvrp-0-pa-98,956.1196,0.0,10
ccpvrp,cvrp-0-pa-99,874.6117,0.0,10
ccpvrp,cvrp-0-pa-100,843.7576,0.0,9
ccpvrp,cvrp-0-pa-101,904.202,0.0,10
ccpvrp,cvrp-0-pa-102,926.1363,0.0,10
ccpvrp,cvrp-0-pa-103,905.7586,0.0,10
ccpvrp,cvrp-0-pa-104,1806.8597,0.0,11
ccpvrp,cvrp-0-pa-105,1769.9566,0.0,10
ccpvrp,cvrp-0-pa-106,926.439,0.0,10
ccpvrp,cvrp-0-pa-107,961.3583,0.0,9
ccpvrp,cvrp-0-pa-108,986.4375,0.0,10
ccpvrp,cvrp-0-pa-109,721.6126,0.0,9
ccpmipohomo,cvrp-0-pa-90,770.6421,2.421255350112915,10
ccpmipohomo,cvrp-0-pa-91,859.1568,2.027860403060913,10
ccpmipohomo,cvrp-0-pa-92,780.7986,2.7606568336486816,9
ccpmipohomo,cvrp-0-pa-93,717.9807,2.115074634552002,8
ccpmipohomo,cvrp-0-pa-94,863.1789,3.0206656455993652,9
ccpmipohomo,cvrp-0-pa-95,924.0876,3.880751371383667,10
ccpmipohomo,cvrp-0-pa-96,886.4677,3.3026516437530518,10
ccpmipohomo,cvrp-0-pa-97,792.5107,2.506675958633423,10
ccpmipohomo,cvrp-0-pa-98,772.2548,6.498076915740967,10
ccpmipohomo,cvrp-0-pa-99,790.5369,3.871370315551758,10
ccpmipohomo,cvrp-0-pa-100,761.8756,4.022501230239868,9
ccpmipohomo,cvrp-0-pa-101,719.6896,3.011145830154419,10
ccpmipohomo,cvrp-0-pa-102,760.7593,2.78214955329895,10
ccpmipohomo,cvrp-0-pa-103,745.8288,4.287312269210815,10
ccpmipohomo,cvrp-0-pa-104,1054.0233,6.6943135261535645,11
ccpmipohomo,cvrp-0-pa-105,1343.9781,3.1245458126068115,10
ccpmipohomo,cvrp-0-pa-106,729.4912,5.516336917877197,10
ccpmipohomo,cvrp-0-pa-107,772.5488,3.9488918781280518,9
ccpmipohomo,cvrp-0-pa-108,868.7759,3.563173532485962,10
ccpmipohomo,cvrp-0-pa-109,667.6922,3.503819704055786,9
