Algorithm;input;distance;time;n_veiculos
krsof;cvrp-0-pa-90;651,2639;6,25331449508667;15
krsof;cvrp-0-pa-91;614,2588;5,633115530014038;12
krsof;cvrp-0-pa-92;586,007;5,118519306182861;13
krsof;cvrp-0-pa-93;557,2993;4,681495904922485;12
krsof;cvrp-0-pa-94;712,98;5,7466583251953125;14
krsof;cvrp-0-pa-95;728,5079;8,181235551834106;16
krsof;cvrp-0-pa-96;698,5624;6,007337331771851;16
krsof;cvrp-0-pa-97;587,0453;8,76447081565857;17
krsof;cvrp-0-pa-98;657,3075;7,4813232421875;14
krsof;cvrp-0-pa-99;718,3267;7,778246164321899;17
krsof;cvrp-0-pa-100;720,0813;4,7069995403289795;16
krsof;cvrp-0-pa-101;702,9084;5,875572681427002;14
krsof;cvrp-0-pa-102;616,6023;6,277523994445801;13
krsof;cvrp-0-pa-103;568,188;8,335372686386108;17
krsof;cvrp-0-pa-104;694,6307;8,83816933631897;15
krsof;cvrp-0-pa-105;729,1639;7,6403279304504395;15
krsof;cvrp-0-pa-106;719,6568;5,888215065002441;16
krsof;cvrp-0-pa-107;646,1848;6,5459675788879395;15
krsof;cvrp-0-pa-108;776,0148;5,626573324203491;13
krsof;cvrp-0-pa-109;575,2224;5,842021703720093;14
krsof;cvrp-0-pa-110;674,8988;6,280096769332886;15
krsof;cvrp-0-pa-111;663,7678;4,989539861679077;13
krsof;cvrp-0-pa-112;684,8454;10,819333791732788;18
krsof;cvrp-0-pa-113;559,2815;5,390129089355469;16
krsof;cvrp-0-pa-114;706,389;6,796000242233276;16
krsof;cvrp-0-pa-115;592,0613;9,271297454833984;16
krsof;cvrp-0-pa-116;585,6588;2,8769683837890625;10
krsof;cvrp-0-pa-117;702,8613;10,864575862884521;17
krsof;cvrp-0-pa-118;712,4457;5,817052125930786;16
krsof;cvrp-0-pa-119;706,5638;5,002009391784668;13
