Algorithm;input;distance;time;n_veiculos
krs;cvrp-0-pa-90;651,5317;3,3640003204345703;15
krs;cvrp-0-pa-91;809,627;2,845001220703125;10
krs;cvrp-0-pa-92;587,5514;2,5221662521362305;13
krs;cvrp-0-pa-93;576,3604;2,3481009006500244;8
krs;cvrp-0-pa-94;714,8599;2,9020004272460938;14
krs;cvrp-0-pa-95;841,3893;4,542357444763184;10
krs;cvrp-0-pa-96;712,058;2,9727766513824463;16
krs;cvrp-0-pa-97;631,8274;4,604000568389893;11
krs;cvrp-0-pa-98;704,7839;3,9019994735717773;10
krs;cvrp-0-pa-99;718,8055;4,110001802444458;17
krs;cvrp-0-pa-100;720,3756;2,4269988536834717;16
krs;cvrp-0-pa-101;818,6073;3,473999261856079;10
krs;cvrp-0-pa-102;653,4976;3,192000150680542;13
krs;cvrp-0-pa-103;617,8475;4,430995941162109;10
krs;cvrp-0-pa-104;710,5075;4,657999753952026;15
krs;cvrp-0-pa-105;764,3025;4,301000356674194;11
krs;cvrp-0-pa-106;720,1882;2,90099835395813;16
krs;cvrp-0-pa-107;646,2696;3,331000566482544;15
krs;cvrp-0-pa-108;809,9059;2,896998643875122;10
krs;cvrp-0-pa-109;821,4188;3,0888726711273193;9
krs;cvrp-0-pa-110;675,9786;3,082688331604004;15
krs;cvrp-0-pa-111;731,0886;2,6179988384246826;9
krs;cvrp-0-pa-112;690,9009;5,6419970989227295;11
krs;cvrp-0-pa-113;559,3632;2,772202730178833;16
krs;cvrp-0-pa-114;708,5176;3,3238260746002197;16
krs;cvrp-0-pa-115;594,1569;4,327000141143799;16
krs;cvrp-0-pa-116;636,6499;1,5983402729034424;8
krs;cvrp-0-pa-117;708,048;5,341999053955078;17
krs;cvrp-0-pa-118;712,6803;2,930999755859375;16
krs;cvrp-0-pa-119;709,9942;2,677520275115967;13
