Algorithm;input;distance;time;n_veiculos
krs;cvrp-0-pa-90;651,2639;6,099076986312866;15
krs;cvrp-0-pa-91;838,8639;5,498000621795654;10
krs;cvrp-0-pa-92;586,007;4,956007242202759;13
krs;cvrp-0-pa-93;579,3446;4,520671129226685;8
krs;cvrp-0-pa-94;712,98;5,605118751525879;14
krs;cvrp-0-pa-95;841,3893;8,156398057937622;10
krs;cvrp-0-pa-96;698,5624;5,806125640869141;16
krs;cvrp-0-pa-97;596,5405;8,701468229293823;11
krs;cvrp-0-pa-98;704,6305;7,4096949100494385;10
krs;cvrp-0-pa-99;718,3267;7,574541330337524;17
krs;cvrp-0-pa-100;720,0813;4,678326845169067;16
krs;cvrp-0-pa-101;764,3937;5,839054346084595;10
krs;cvrp-0-pa-102;616,6023;6,123000383377075;13
krs;cvrp-0-pa-103;637,1804;8,288496971130371;11
krs;cvrp-0-pa-104;694,6307;8,632943153381348;15
krs;cvrp-0-pa-105;777,3334;7,40781307220459;11
krs;cvrp-0-pa-106;719,6568;5,665987014770508;16
krs;cvrp-0-pa-107;646,1848;6,351701021194458;15
krs;cvrp-0-pa-108;809,9059;5,52196741104126;10
krs;cvrp-0-pa-109;740,8173;5,6149678230285645;10
krs;cvrp-0-pa-110;674,8988;6,095499038696289;15
krs;cvrp-0-pa-111;670,0012;4,799581527709961;9
krs;cvrp-0-pa-112;676,2011;10,78299331665039;11
krs;cvrp-0-pa-113;559,2815;5,1858837604522705;16
krs;cvrp-0-pa-114;706,389;6,464690446853638;16
krs;cvrp-0-pa-115;592,0613;9,064362287521362;16
krs;cvrp-0-pa-116;632,3204;2,7464306354522705;8
krs;cvrp-0-pa-117;702,8613;10,65941834449768;17
krs;cvrp-0-pa-118;712,4457;5,627346992492676;16
krs;cvrp-0-pa-119;706,5638;4,8480000495910645;13
