Algorithm;input;distance;time;n_veiculos
kpprrf;cvrp-0-rj-90;7779,0831;64,867;200
kpprrf;cvrp-0-rj-91;8260,7685;70,142;217
kpprrf;cvrp-0-rj-92;8001,0465;68,036;203
kpprrf;cvrp-0-rj-93;7995,5722;72,807;204
kpprrf;cvrp-0-rj-94;7345,2054;66,139;184
kpprrf;cvrp-0-rj-95;6436,7014;58,958;161
kpprrf;cvrp-0-rj-96;7660,0811;81,57;203
kpprrf;cvrp-0-rj-97;6732,5656;72,449;171
kpprrf;cvrp-0-rj-98;7850,8994;88,922;201
kpprrf;cvrp-0-rj-99;8246,1977;101,531;208
kpprrf;cvrp-0-rj-100;7614,8626;103,533;194
kpprrf;cvrp-0-rj-101;6649,3938;96,529;167
kpprrf;cvrp-0-rj-102;6845,1242;100,249;169
kpprrf;cvrp-0-rj-103;8495,6722;141,415;222
kpprrf;cvrp-0-rj-104;6416,5985;111,918;163
kpprrf;cvrp-0-rj-105;8107,2925;173,292;213
kpprrf;cvrp-0-rj-106;7527,2463;190,743;199
kpprrf;cvrp-0-rj-107;6834,3177;187,961;170
kpprrf;cvrp-0-rj-108;7057,8356;240,417;185
kpprrf;cvrp-0-rj-109;7136,322;259,739;184
kpprrf;cvrp-0-rj-110;6606,2469;251,478;168
kpprrf;cvrp-0-rj-111;8174,7404;352,222;210
kpprrf;cvrp-0-rj-112;7547,1799;339,968;195
kpprrf;cvrp-0-rj-113;8593,28;408,773;220
kpprrf;cvrp-0-rj-114;8307,0112;439,65;212
kpprrf;cvrp-0-rj-115;8195,3673;463,031;210
kpprrf;cvrp-0-rj-116;7131,9517;415,273;179
kpprrf;cvrp-0-rj-117;8195,7316;514,403;215
kpprrf;cvrp-0-rj-118;8299,7349;559,182;226
kpprrf;cvrp-0-rj-119;7466,0242;553,057;197
