Algorithm;input;distance;time;n_veiculos
kpprrf;cvrp-0-rj-90;7779,0831;73,745;200
kpprrf;cvrp-0-rj-91;8260,7685;73,532;217
lkh3;cvrp-0-rj-90;5388,385;453,43937134742737;136
lkh3;cvrp-0-rj-91;6511,6793;1030,920402765274;142
lkh3;cvrp-0-rj-92;4094,569;392,46153926849365;151
lkh3;cvrp-0-rj-93;6653,945;715,6499493122101;134
lkh3;cvrp-0-rj-94;4926,4711;644,1939542293549;130
lkh3;cvrp-0-rj-95;5251,4124;348,0076587200165;110
lkh3;cvrp-0-rj-96;6072,2777;836,4035775661469;134
lkh3;cvrp-0-rj-97;4607,8849;254,56979322433472;117
lkh3;cvrp-0-rj-98;4954,5428;382,2022445201874;140
lkh3;cvrp-0-rj-99;6920,9696;932,328351020813;144
lkh3;cvrp-0-rj-100;3874,1759;311,34834933280945;138
lkh3;cvrp-0-rj-101;4454,4906;198,50574374198914;112
lkh3;cvrp-0-rj-102;6596,2628;223,0749089717865;135
lkh3;cvrp-0-rj-103;7523,1736;694,4616787433624;144
lkh3;cvrp-0-rj-104;4423,6751;260,2669258117676;111
lkh3;cvrp-0-rj-105;7410,4178;735,9253890514374;143
lkh3;cvrp-0-rj-106;3612,4803;323,8958535194397;138
lkh3;cvrp-0-rj-107;5968,0494;215,1369173526764;129
lkh3;cvrp-0-rj-108;4859,8954;544,6979386806488;123
lkh3;cvrp-0-rj-109;4912,9877;359,3013422489166;127
lkh3;cvrp-0-rj-110;3517,4222;195,61052203178406;125
lkh3;cvrp-0-rj-111;6251,1822;743,705846786499;138
lkh3;cvrp-0-rj-112;6091,9681;726,861519575119;131
lkh3;cvrp-0-rj-113;7435,4522;1144,230788230896;145
lkh3;cvrp-0-rj-114;6917,9895;811,4499020576477;139
lkh3;cvrp-0-rj-115;7275,6584;1070,8907721042633;143
lkh3;cvrp-0-rj-116;3474,8104;292,9726161956787;128
lkh3;cvrp-0-rj-117;6021,094;835,3623032569885;144
lkh3;cvrp-0-rj-118;4113,4376;359,6901149749756;157
lkh3;cvrp-0-rj-119;5553,6329;633,0305757522583;130
kmeans-partition;cvrp-0-rj-90;3073,3578;914,0977025032043;135
kmeans-partition;cvrp-0-rj-91;3279,6777;888,4294407367706;143
kmeans-aggregation;cvrp-0-rj-90;3118,1265;490,9443004131317;141
kmeans-aggregation;cvrp-0-rj-91;3318,6726;489,88240480422974;151
kmeans-aggregation;cvrp-0-rj-92;3246,275;482,89280557632446;148
kmeans-aggregation;cvrp-0-rj-93;3246,8159;480,0104944705963;140
kmeans-aggregation;cvrp-0-rj-94;3056,4748;462,6325762271881;132
kmeans-aggregation;cvrp-0-rj-95;2677,1376;390,837317943573;115
kmeans-aggregation;cvrp-0-rj-96;3039,9444;472,0164039134979;139
kmeans-aggregation;cvrp-0-rj-97;2787,3641;417,16276693344116;117
kmeans-aggregation;cvrp-0-rj-98;3222,2083;487,2542335987091;146
kmeans-aggregation;cvrp-0-rj-99;3315,049;497,2594487667084;153
kmeans-aggregation;cvrp-0-rj-100;3120,8002;473,9452519416809;136
kmeans-aggregation;cvrp-0-rj-101;2734,1371;413,24046754837036;114
kmeans-aggregation;cvrp-0-rj-102;2903,0729;410,5947287082672;122
kmeans-aggregation;cvrp-0-rj-103;3327,6821;535,893144607544;154
kmeans-aggregation;cvrp-0-rj-104;2701,4657;396,34946966171265;113
kmeans-aggregation;cvrp-0-rj-105;3291,3155;516,2868523597717;151
kmeans-aggregation;cvrp-0-rj-106;3072,9396;458,2674162387848;137
kmeans-aggregation;cvrp-0-rj-107;2846,3987;429,3882372379303;123
kmeans-aggregation;cvrp-0-rj-108;2918,6149;442,90497732162476;126
kmeans-aggregation;cvrp-0-rj-109;3030,9896;463,74279594421387;129
kmeans-aggregation;cvrp-0-rj-110;2754,5577;425,56384921073914;119
kmeans-aggregation;cvrp-0-rj-111;3270,6813;501,50710248947144;144
kmeans-aggregation;cvrp-0-rj-112;3095,227;462,6564574241638;138
kmeans-aggregation;cvrp-0-rj-113;3386,3312;504,6583836078644;154
kmeans-aggregation;cvrp-0-rj-114;3275,7415;482,19213795661926;148
kmeans-aggregation;cvrp-0-rj-115;3281,3444;508,3801734447479;151
kmeans-aggregation;cvrp-0-rj-116;3000,9243;428,6062157154083;130
kmeans-aggregation;cvrp-0-rj-117;3256,3734;493,6999487876892;150
kmeans-aggregation;cvrp-0-rj-118;3419,3642;520,1592900753021;158
kmeans-aggregation;cvrp-0-rj-119;3080,8431;458,91868782043457;139
