Algorithm;input;distance;time;n_veiculos
krsof;cvrp-0-rj-90;4491,6945;1573,7698693275452;200;117,62
krsof;cvrp-0-rj-91;4628,3242;1702,623327255249;217;114,74654377880184
krsof;cvrp-0-rj-92;4610,9433;1672,6164467334747;203;120,12807881773399
krsof;cvrp-0-rj-93;4559,3406;1628,4911842346191;204;116,26470588235294
krsof;cvrp-0-rj-94;4356,6485;1403,1229996681213;184;120,8695652173913
krsof;cvrp-0-rj-95;3793,7516;1027,2218544483185;161;119,8695652173913
krsof;cvrp-0-rj-96;4334,2292;1514,167320728302;203;115,07389162561576
krsof;cvrp-0-rj-97;3886,78;1122,4117233753204;171;116,39181286549707
krsof;cvrp-0-rj-98;4537,9622;1546,0811614990234;201;121,46268656716418
krsof;cvrp-0-rj-99;4708,9252;1762,1060914993286;208;122,48076923076923
krsof;cvrp-0-rj-100;4367,4413;1542,3532559871674;194;118,3298969072165
krsof;cvrp-0-rj-102;3907,9502;1138,0820696353912;169;121,89349112426035
krsof;cvrp-0-rj-103;4732,8593;1829,0807800292969;222;116,26126126126127
krsof;cvrp-0-rj-104;3726,3576;1000,3029985427856;163;116,93251533742331
krsof;cvrp-0-rj-105;4747,2082;1754,1354758739471;213;119,83568075117371
krsof;cvrp-0-rj-106;4432,1513;1518,6152534484863;199;115,44723618090453
krsof;cvrp-0-rj-107;3989,0186;1148,4804966449738;170;120,34117647058824
krsof;cvrp-0-rj-108;4033,659;1303,5358021259308;185;114,41621621621621
krsof;cvrp-0-rj-109;4161,502;1331,656748533249;184;119,90760869565217
krsof;cvrp-0-rj-110;3811,0017;1014,5290067195892;168;120,10714285714286
krsof;cvrp-0-rj-111;4577,1443;1625,7356417179108;210;115,43333333333334
krsof;cvrp-0-rj-112;4293,9284;1459,269647359848;195;118,26666666666667
krsof;cvrp-0-rj-113;4738,9737;1876,7802002429962;220;117,15
krsof;cvrp-0-rj-114;4689,5725;1754,9351902008057;212;116,04245283018868
krsof;cvrp-0-rj-115;4666,6679;1619,574068069458;210;119,91428571428571
krsof;cvrp-0-rj-116;4062,4955;1298,7184846401215;179;119,66480446927375
krsof;cvrp-0-rj-117;4601,8075;1702,6513018608093;215;116,36279069767441
krsof;cvrp-0-rj-118;4672,427;1896,0612998008728;226;114,85840707964601
krsof;cvrp-0-rj-119;4313,6687;1406,7123081684113;197;115,3502538071066
