Algorithm;input;distance;time;n_veiculos
krs;cvrp-0-rj-90;4504,2809;806,698823928833;200
krs;cvrp-0-rj-91;4651,7191;863,4826061725616;217
krs;cvrp-0-rj-92;4627,3419;866,194046497345;203
krs;cvrp-0-rj-93;4578,0291;805,1493678092957;204
krs;cvrp-0-rj-94;4377,1344;690,3808891773224;184
krs;cvrp-0-rj-95;3810,944;506,40660095214844;161
krs;cvrp-0-rj-96;4357,8146;757,5152730941772;203
krs;cvrp-0-rj-97;3902,3219;550,0180997848511;171
krs;cvrp-0-rj-98;4553,3994;765,3339471817017;201
krs;cvrp-0-rj-99;4744,3357;870,667352437973;208
krs;cvrp-0-rj-100;4408,6759;770,9713582992554;194
krs;cvrp-0-rj-102;3938,6683;553,0436065196991;169
krs;cvrp-0-rj-103;4768,8646;904,2901763916016;222
krs;cvrp-0-rj-104;3773,6046;495,59440898895264;163
krs;cvrp-0-rj-105;4766,5573;872,6279075145721;213
krs;cvrp-0-rj-106;4447,758;748,2698390483856;199
krs;cvrp-0-rj-107;4007,7789;569,2593054771423;170
krs;cvrp-0-rj-108;4066,3144;647,8193516731262;185
krs;cvrp-0-rj-109;4198,3578;662,7954535484314;184
krs;cvrp-0-rj-110;3834,317;511,70390033721924;168
krs;cvrp-0-rj-111;4595,6299;799,9024295806885;210
krs;cvrp-0-rj-112;4311,495;724,8399934768677;195
krs;cvrp-0-rj-113;4774,2877;922,347195148468;220
krs;cvrp-0-rj-114;4717,9186;861,7909996509552;212
krs;cvrp-0-rj-115;4699,9709;834,3541574478149;210
krs;cvrp-0-rj-116;3981,6417;661,2896087169647;121
krs;cvrp-0-rj-117;4626,0541;843,6157393455505;215
krs;cvrp-0-rj-118;4701,7134;917,4336376190186;226
krs;cvrp-0-rj-119;4334,1113;708,3598682880402;197
