krsof,krsof,lkh3,lkh3,kmeans-partition,kmeans-partition,kmeans-aggregation,kmeans-aggregation
Capacities,Distances,Capacities,Distances,Capacities,Distances,Capacities,Distances
169,18.3958,177,0.499,179,2.5765,135,5.9137
178,8.1173,180,0.9648,171,0.7916,170,7.7618
94,8.8296,179,1.5854,131,9.1625,180,3.1355
164,12.3722,174,0.4081,178,1.4729,180,1.2117
160,5.4982,81,0.3681,131,1.3411,178,1.2094
176,2.7949,174,1.0365,167,0.7608,173,1.0729
180,5.2991,180,0.3029,178,0.891,177,1.0767
129,6.1135,177,0.3346,180,1.7577,172,0.9876
161,3.821,176,1.8005,180,1.1833,179,1.0376
78,3.8625,178,0.459,180,0.4993,170,1.0081
179,2.9994,175,0.5839,172,0.4684,177,1.6028
67,5.3502,180,1.4737,180,2.2679,179,1.2277
174,3.818,171,0.5133,180,0.5103,148,0.9595
9,0.6961,179,2.4381,180,0.7558,162,0.764
148,4.0559,174,2.9131,180,0.6794,178,2.3178
38,4.7028,180,2.6913,179,0.3319,175,0.5449
125,2.5451,175,1.7174,179,2.8385,179,0.7978
0,0,176,1.7746,179,0.256,144,1.2645
164,6.3226,179,1.4799,177,0.6972,165,1.1861
156,5.6342,174,0.4645,175,0.3238,180,0.8103
176,1.8968,177,0.4904,167,0.3125,178,0.4842
155,2.1849,176,0.2256,146,0.3003,179,0.4286
43,15.5458,180,2.8182,176,0.3584,178,0.4856
119,6.8739,169,0.6426,178,0.2383,164,1.4332
63,4.5501,180,1.5297,180,0.6854,177,0.7258
178,3.552,180,1.4868,180,1.1491,175,0.5645
100,4.1896,179,1.191,180,1.3458,174,2.8725
179,2.3403,168,0.7111,180,0.9082,149,0.3021
178,5.6049,179,1.4611,180,0.9951,178,0.5366
178,2.4215,177,0.9092,178,5.3856,145,4.5143
127,3.5954,153,0.9629,180,1.9088,178,0.2478
175,3.0133,177,0.4428,180,1.5773,127,0.3693
0,0,180,1.4682,175,1.4565,163,0.2749
144,3.6881,166,11.1022,169,1.3659,157,0.2741
122,4.6726,179,1.7121,154,1.2172,177,0.4218
65,4.2123,,,,,159,0.4531
178,1.3574,,,,,,
180,3.5704,,,,,,
47,4.2624,,,,,,
141,4.724,,,,,,
72,3.0214,,,,,,
130,5.6411,,,,,,
21,4.8009,,,,,,
174,4.8741,,,,,,
66,5.5284,,,,,,
111,2.8868,,,,,,
82,5.3534,,,,,,
139,2.4471,,,,,,
159,3.2127,,,,,,
