krsof,krsof,lkh3,lkh3,kmeans-partition,kmeans-partition,kmeans-aggregation,kmeans-aggregation
Capacities,Distances,Capacities,Distances,Capacities,Distances,Capacities,Distances
176,1.5698,132,0.5684,165,0.3438,167,2.8786
6,1.1654,179,2.477,137,0.5904,167,2.6033
157,10.1584,171,0.3291,180,1.9213,113,7.4544
163,5.7054,180,2.9938,157,2.5766,176,0.603
165,7.2697,179,2.8417,179,3.8579,166,0.4843
178,5.0644,178,0.4144,178,0.6512,164,0.3795
164,5.6246,147,0.498,173,3.1895,165,2.1387
0,0,122,0.2666,151,0.4288,178,0.8575
53,5.5484,177,2.0089,180,0.8271,176,0.4167
159,1.6287,178,0.5275,142,0.3597,172,0.5105
60,8.9676,179,2.8158,180,3.3072,178,2.4815
152,4.26,,,,,,
173,7.028,,,,,,
0,0,,,,,,
172,4.8482,,,,,,
38,1.1862,,,,,,
