krsof,krsof,lkh3,lkh3,kmeans-partition,kmeans-partition,kmeans-aggregation,kmeans-aggregation
Capacities,Distances,Capacities,Distances,Capacities,Distances,Capacities,Distances
176,2.3018,123,0.4655,180,0.8357,135,1.1547
6,1.5654,169,0.2428,179,1.1595,132,0.2242
178,2.3801,142,0.2871,180,0.2968,168,2.9478
10,2.8863,179,0.5875,180,0.6156,173,2.1171
130,3.1256,180,2.3907,180,0.4063,147,2.5458
170,2.8543,176,2.5497,180,0.2892,168,2.6589
158,1.9413,163,1.0909,180,0.3677,175,1.3447
1,0.94,177,0.9379,180,0.3257,174,1.8267
144,5.4889,180,0.2672,180,0.4334,176,3.1862
144,3.3131,164,0.6291,180,0.5042,180,1.3007
163,8.5905,172,0.5957,180,0.3967,177,1.4289
169,1.2831,165,1.7144,180,0.4651,171,1.1746
78,2.8492,180,1.0871,179,0.2811,177,1.3704
179,4.0079,163,0.486,178,0.2386,166,1.2673
123,2.6017,151,0.6638,178,0.3209,180,1.6169
180,2.5464,168,0.8126,180,0.2369,153,0.9526
155,10.147,176,1.256,180,0.3618,180,0.8685
177,5.7072,177,1.2604,178,0.2383,178,1.1072
1,3.7426,128,0.4369,179,0.626,162,1.1454
76,2.4481,163,1.3631,177,0.4082,177,1.3807
39,3.0547,176,1.3616,180,0.3319,180,0.7898
162,3.6275,180,1.9382,180,0.2514,144,1.0712
20,3.0751,148,0.4199,180,0.3705,150,1.4006
179,2.0256,168,0.5265,180,0.2949,178,1.1054
3,1.2278,177,0.9998,179,0.2695,179,1.0292
179,2.2517,147,0.5438,177,0.2292,165,1.0095
81,3.8034,121,0.4696,180,0.21,172,0.8056
176,2.6715,180,1.1382,173,0.2462,171,0.9506
171,2.639,174,0.9071,180,0.3165,159,1.27
49,2.5531,143,0.31,179,0.3212,177,1.7069
139,2.484,172,0.6338,171,0.1836,160,1.0305
61,3.8963,163,0.6398,175,0.2474,168,0.8061
179,3.2276,156,0.4779,180,0.2272,157,0.8159
7,2.5761,149,2.0624,179,0.2226,178,1.0844
179,3.9694,178,1.9666,177,0.2395,176,0.7255
177,1.6508,179,1.5462,158,0.2556,172,1.1166
7,3.1304,179,0.4242,167,0.2997,169,0.7547
175,5.2233,169,0.2751,175,0.2432,170,0.6601
180,3.6654,149,0.7796,180,0.3611,176,0.7496
41,2.9135,179,0.7324,166,0.2718,180,0.6954
141,3.7174,165,1.0378,178,0.3421,165,0.9362
176,3.5985,180,0.7395,145,0.3243,176,0.6656
179,2.4572,157,1.4143,178,0.3749,173,0.908
23,5.2976,179,0.4856,175,0.2602,154,1.3772
180,4.6211,177,0.8497,179,0.4654,177,0.5458
177,3.3601,179,0.3091,180,0.9755,174,0.9139
180,1.9438,180,1.4657,178,1.4405,176,0.6481
20,3.4774,179,1.3309,171,0.6741,177,1.397
143,3.5938,144,0.433,165,0.6012,165,0.6782
170,1.5867,179,0.5507,180,0.7376,172,0.5351
0,0,168,0.6938,178,0.6009,175,0.4815
73,3.5574,141,0.2851,180,0.4791,178,1.0964
1,1.0718,154,0.2829,180,0.5655,156,1.211
180,2.1648,165,0.2979,178,0.9198,178,0.5764
10,1.2463,179,0.1835,180,0.8537,142,0.6329
151,6.0923,176,0.5503,180,0.7007,175,0.7804
11,6.3061,179,2.2098,163,0.64,171,0.9036
175,1.8505,157,1.681,180,0.6319,159,0.6164
146,3.8559,178,0.3508,172,0.6006,180,0.5437
7,1.4186,173,1.076,180,0.5824,138,0.6811
176,1.6804,179,0.279,175,0.866,179,0.7689
168,4.8007,159,1.1128,124,0.607,170,0.5491
142,1.9225,177,0.7131,158,0.5608,139,0.5053
51,2.0887,157,0.4709,146,0.5311,177,1.4361
115,7.6367,169,0.7212,179,1.5423,147,0.7146
85,3.6311,171,1.8489,154,1.9418,171,0.9053
178,1.8198,175,1.369,176,2.7031,178,0.5284
180,6.5823,174,1.354,174,1.1988,177,0.5325
143,5.7063,180,1.9954,165,1.3264,176,0.4907
42,4.8542,180,0.8528,65,2.3861,174,0.6021
137,6.4713,158,1.5173,176,1.139,177,0.4153
173,1.2404,170,0.2766,180,1.2868,180,0.3352
178,1.5069,179,0.5161,176,0.8537,180,0.337
53,2.5218,176,1.1991,180,1.2272,176,0.5683
8,2.716,175,0.2417,179,1.0871,180,0.311
180,3.6295,159,0.5148,179,0.8574,175,0.2316
144,3.8478,156,0.365,179,0.9312,178,0.2595
179,1.3956,177,0.5476,179,1.2475,174,0.3014
9,1.9958,162,0.2233,176,0.7932,179,0.3231
133,4.4191,171,1.6368,180,1.0986,173,0.278
19,3.9746,179,3.2249,180,0.8598,141,0.3308
61,2.3041,168,0.2719,124,1.0053,160,0.2589
162,4.9054,153,0.2569,175,0.6864,180,0.234
153,2.779,175,0.3866,172,2.2005,174,0.2502
52,2.691,178,0.6661,178,3.2855,180,0.3032
180,1.4631,180,0.5768,176,2.0822,180,0.2208
51,2.4976,156,0.7646,176,1.2297,161,0.263
179,2.3107,180,0.4432,36,6.4617,173,0.2877
164,5.8375,165,0.4175,175,0.9342,179,0.5108
117,6.0828,180,1.1589,172,1.1354,110,0.4675
172,2.254,166,0.9327,140,0.7937,179,0.2312
179,4.1361,178,0.2698,180,0.9095,171,0.1992
153,2.3684,170,0.3324,179,1.6165,180,0.2208
180,3.4753,179,1.1839,180,0.8294,177,0.746
56,4.5026,180,0.4498,180,1.2396,178,0.5595
177,2.2172,99,1.0559,177,1.1962,158,0.2912
171,3.2483,158,0.4399,164,0.7887,180,0.1899
177,1.7908,179,0.3173,179,1.0799,174,0.256
141,1.4611,178,0.4425,132,0.941,137,0.3225
153,2.3316,175,0.7582,180,0.4289,174,0.2489
4,0.9003,154,0.999,176,0.4563,128,0.4283
105,1.4719,163,0.2795,178,0.5054,177,0.4732
82,1.6396,135,0.6867,180,0.5188,177,0.3554
139,2.0603,169,0.7138,180,0.6551,132,0.3435
179,3.8673,161,0.9249,180,0.5219,130,0.4469
168,3.079,149,0.348,179,1.3263,166,0.4174
1,0.7497,173,1.7325,175,0.4122,180,0.403
149,3.1368,175,0.3373,180,0.6664,125,0.3473
180,5.7989,175,0.4915,179,0.4099,175,0.3418
178,2.6187,177,0.2147,180,0.4487,180,0.4374
30,4.464,177,0.5677,179,0.3722,180,0.4472
165,2.7181,174,0.3518,139,0.4539,169,0.3016
39,2.6032,162,0.5462,168,0.332,162,0.2287
119,4.5908,155,4.2325,179,0.7447,180,0.5093
